STATE ,CONSTITUENCY ,PARTY ,POSITION ,CANDIDATE_NAME                   ,PWD               ,AGE ,GENDER ,QUALIFICATIONS                                                                ,REMARKS
ABIA  ,ABIA CENTRAL ,AA    ,Senate   ,UBANI IHEANYICHUKWU DENNIS       ,None              , 51 ,M      ,WAEC HND                                                                      ,
ABIA  ,ABIA SOUTH   ,AAC   ,Senate   ,NWANKWO GODSWILL CHINYERE        ,None              , 48 ,M      ,FSLC WAEC DEGREE                                                              ,
ABIA  ,ABIA NORTH   ,ADC   ,Senate   ,EMETU MARTINS                    ,None              , 72 ,M      ,FLSC SSCE DEGREE                                                              ,
ABIA  ,ABIA CENTRAL ,ADC   ,Senate   ,JOHN ABRAHAM GODSON              ,None              , 51 ,M      ,SCHOOL LEAVING CERTIFICATE WASC                                               ,
ABIA  ,ABIA SOUTH   ,ADC   ,Senate   ,EDEDE OKEY                       ,None              , 58 ,M      ,FLSC SSCE DEGREE                                                              ,
ABIA  ,ABIA SOUTH   ,ADP   ,Senate   ,WOKOLEME IKECHUKWU DAVID AJUZIE  ,None              , 50 ,M      ,FSLC                                                                          ,
ABIA  ,ABIA SOUTH   ,APC   ,Senate   ,NWAGBA BLESSING OKWUCHI          ,None              , 63 ,F      ,First School Leaving Certificate WAEC PHD                                     ,
ABIA  ,ABIA NORTH   ,APC   ,Senate   ,KALU ORJI UZOR                   ,None              , 62 ,M      ,First School Leaving Certificate WAEC BSc                                     ,
ABIA  ,ABIA CENTRAL ,APGA  ,Senate   ,NWEKE EMMANUEL AHAMDI            ,None              , 63 ,M      ,"FIRST SCHOOL LEAVING CERTIFICATE WASSCE DEGREE M.Sc"                         ,
ABIA  ,ABIA NORTH   ,APGA  ,Senate   ,DIKE- OKORAFOR CAROL BALUEKAM    ,None              , 74 ,F      ,FIRST SCHOOL LEAVING CERTIFICATE WASSCE BACHELOR OF LAWS (LLB)                ,
ABIA  ,ABIA NORTH   ,APM   ,Senate   ,NWOSU EMMANUELA NNENNAYA         ,None              , 53 ,F      ,FIRST SCHOOL LEAVING CERTIFICATE WAEC                                         ,
ABIA  ,ABIA SOUTH   ,APGA  ,Senate   ,ABARIBE ENYINNAYA HARCOURT       ,None              , 67 ,M      ,WASSCE B.Sc(ECONS) M.Sc(ECONS)                                                ,
ABIA  ,ABIA CENTRAL ,APP   ,Senate   ,NDUKA CHIJIOKE TIMOTHY           ,None              , 40 ,M      ,FSLC SSCE                                                                     ,
ABIA  ,ABIA SOUTH   ,APP   ,Senate   ,KANU SIGNOR NDUBUEZE CHUKWUEMEKA ,None              , 50 ,M      ,FSLC SSCE BSC                                                                 ,
ABIA  ,ABIA NORTH   ,APP   ,Senate   ,ADIJEH IFEANYICHUKWU KINGSLEY    ,None              , 48 ,M      ,FSLC SSCE BSC                                                                 ,
ABIA  ,ABIA CENTRAL ,LP    ,Senate   ,DARLINGTON NWOKOCHA              ,                  ,    ,       ,                                                                              ,COURT ORDER
ABIA  ,ABIA NORTH   ,LP    ,Senate   ,IRO-OJI NNAMDI                   ,None              , 53 ,M      ,FSLC Degree                                                                   ,
ABIA  ,ABIA SOUTH   ,LP    ,Senate   ,ONYEIZU CHINEDU CHIMAEZE         ,None              , 41 ,M      ,FSLC WAEC Degree                                                              ,
ABIA  ,ABIA CENTRAL ,NNPP  ,Senate   ,AIYELABEGAN KAYODE ABDUL         ,None              , 67 ,M      ,PRIMARY LEAVING CERTIFICATE WAEC                                              ,
ABIA  ,ABIA NORTH   ,NNPP  ,Senate   ,SAIDU AHMED                      ,None              , 36 ,M      ,PRIMARY LEAVING CERTIFICATE WAEC                                              ,
ABIA  ,ABIA SOUTH   ,NNPP  ,Senate   ,IHEZIE OBINNA DESMOND            ,None              , 89 ,M      ,PRIMARY LEAVING CERTIFICATE WAEC                                              ,
ABIA  ,ABIA CENTRAL ,NRM   ,Senate   ,IBEKWE KENNRY CHIMEZIE OLEKANMA  ,None              , 53 ,M      ,WAEC HIGHER NATIONAL DIPLOMA (HND)                                            ,
ABIA  ,ABIA SOUTH   ,NRM   ,Senate   ,ULU JOSEPH                       ,None              , 36 ,M      ,FIRST SCHOOL LEAVING CERTIFICATE SENIOR SECONDARY CERTIFICATE EXAMINATION BSC ,
ABIA  ,ABIA NORTH   ,NRM   ,Senate   ,WOGU CHINOYEREM                  ,Visually Impaired , 56 ,M      ,FIRST SCHOOL LEAVING CERTIFICATE SSCE BA                                      ,
ABIA  ,ABIA NORTH   ,PDP   ,Senate   ,OHUABUNWA MAO ARUKWE             ,None              , 65 ,M      ,WAEC HND PGD                                                                  ,
ABIA  ,ABIA SOUTH   ,PDP   ,Senate   ,IKPEAZU OKEZIE VICTOR            ,None              , 57 ,M      ,FSLC WAEC PHD                                                                 ,
ABIA  ,ABIA CENTRAL ,PDP   ,Senate   ,AKOBUNDU AUGUSTINE OKWUDIRI      ,None              , 66 ,M      ,GCE DIPLOMA                                                                   ,
